month,route,flights
2020-04-01,Hamilton Island - Melbourne,na
2020-05-01,Hamilton Island - Melbourne,na
2020-06-01,Hamilton Island - Melbourne,na
2020-07-01,Hamilton Island - Melbourne,na
2020-08-01,Hamilton Island - Melbourne,na
2020-09-01,Hamilton Island - Melbourne,na
2019-10-01,Hamilton Island - Sydney,172
2019-11-01,Hamilton Island - Sydney,155
2019-12-01,Hamilton Island - Sydney,175
2020-01-01,Hamilton Island - Sydney,184
2020-02-01,Hamilton Island - Sydney,134
2020-03-01,Hamilton Island - Sydney,121
2020-04-01,Hamilton Island - Sydney,0
2020-05-01,Hamilton Island - Sydney,0
2020-06-01,Hamilton Island - Sydney,0
2020-07-01,Hamilton Island - Sydney,na
2020-08-01,Hamilton Island - Sydney,na
2020-09-01,Hamilton Island - Sydney,0
2019-10-01,Kalgoorlie - Perth,331
2019-11-01,Kalgoorlie - Perth,285
2019-12-01,Kalgoorlie - Perth,280
2020-01-01,Kalgoorlie - Perth,311
2020-02-01,Kalgoorlie - Perth,305
2020-03-01,Kalgoorlie - Perth,309
2020-04-01,Kalgoorlie - Perth,82
2020-05-01,Kalgoorlie - Perth,34
2020-06-01,Kalgoorlie - Perth,55
2020-07-01,Kalgoorlie - Perth,108
2020-08-01,Kalgoorlie - Perth,142
2020-09-01,Kalgoorlie - Perth,187
2019-10-01,Karratha - Perth,518
2019-11-01,Karratha - Perth,488
2019-12-01,Karratha - Perth,475
2020-01-01,Karratha - Perth,510
2020-02-01,Karratha - Perth,440
2020-03-01,Karratha - Perth,409
2020-04-01,Karratha - Perth,93
2020-05-01,Karratha - Perth,44
2020-06-01,Karratha - Perth,72
2020-07-01,Karratha - Perth,162
2020-08-01,Karratha - Perth,220
2020-09-01,Karratha - Perth,347
2019-10-01,Launceston - Melbourne,756
2019-11-01,Launceston - Melbourne,746
2019-12-01,Launceston - Melbourne,860
2020-01-01,Launceston - Melbourne,861
2020-02-01,Launceston - Melbourne,741
2020-03-01,Launceston - Melbourne,618
2020-04-01,Launceston - Melbourne,na
2020-05-01,Launceston - Melbourne,na
2020-06-01,Launceston - Melbourne,na
2020-07-01,Launceston - Melbourne,na
2020-08-01,Launceston - Melbourne,na
2020-09-01,Launceston - Melbourne,na
2019-10-01,Launceston - Sydney,150
2019-11-01,Launceston - Sydney,154
2019-12-01,Launceston - Sydney,215
2020-01-01,Launceston - Sydney,187
2020-02-01,Launceston - Sydney,161
2020-03-01,Launceston - Sydney,126
2020-04-01,Launceston - Sydney,0
2020-05-01,Launceston - Sydney,0
2020-06-01,Launceston - Sydney,0
2020-07-01,Launceston - Sydney,na
2020-08-01,Launceston - Sydney,na
2020-09-01,Launceston - Sydney,na
2019-10-01,Melbourne - Sunshine Coast,324
2019-11-01,Melbourne - Sunshine Coast,300
2019-12-01,Melbourne - Sunshine Coast,336
2020-01-01,Melbourne - Sunshine Coast,282
2020-02-01,Melbourne - Sunshine Coast,236
2020-03-01,Melbourne - Sunshine Coast,212
2020-04-01,Melbourne - Sunshine Coast,0
2020-05-01,Melbourne - Sunshine Coast,0
2020-06-01,Melbourne - Sunshine Coast,0
2020-07-01,Melbourne - Sunshine Coast,na
2020-08-01,Melbourne - Sunshine Coast,0
2020-09-01,Melbourne - Sunshine Coast,0
2019-10-01,Sunshine Coast - Sydney,444
2019-11-01,Sunshine Coast - Sydney,419
2019-12-01,Sunshine Coast - Sydney,441
2020-01-01,Sunshine Coast - Sydney,372
2020-02-01,Sunshine Coast - Sydney,331
2020-03-01,Sunshine Coast - Sydney,297
2020-04-01,Sunshine Coast - Sydney,0
2020-05-01,Sunshine Coast - Sydney,0
2020-06-01,Sunshine Coast - Sydney,0
2020-07-01,Sunshine Coast - Sydney,na
2020-08-01,Sunshine Coast - Sydney,na
2020-09-01,Sunshine Coast - Sydney,na
2019-10-01,Melbourne - Mildura,429
2019-11-01,Melbourne - Mildura,404
2019-12-01,Melbourne - Mildura,371
2020-01-01,Melbourne - Mildura,299
2020-02-01,Melbourne - Mildura,369
2020-03-01,Melbourne - Mildura,342
2020-04-01,Melbourne - Mildura,41
2020-05-01,Melbourne - Mildura,34
2020-06-01,Melbourne - Mildura,48
2020-07-01,Melbourne - Mildura,na
2020-08-01,Melbourne - Mildura,na
2020-09-01,Melbourne - Mildura,na
2019-10-01,Melbourne - Newcastle,283
2019-11-01,Melbourne - Newcastle,254
2019-12-01,Melbourne - Newcastle,262
2020-01-01,Melbourne - Newcastle,257
2020-02-01,Melbourne - Newcastle,228
2020-03-01,Melbourne - Newcastle,184
2020-04-01,Melbourne - Newcastle,na
2020-05-01,Melbourne - Newcastle,0
2020-06-01,Melbourne - Newcastle,0
2020-07-01,Melbourne - Newcastle,na
2020-08-01,Melbourne - Newcastle,0
2020-09-01,Melbourne - Newcastle,0
2019-10-01,Gold Coast - Melbourne,1131
2019-11-01,Gold Coast - Melbourne,1005
2019-12-01,Gold Coast - Melbourne,1188
2020-01-01,Gold Coast - Melbourne,1123
2020-02-01,Gold Coast - Melbourne,862
2020-03-01,Gold Coast - Melbourne,754
2020-04-01,Gold Coast - Melbourne,0
2020-05-01,Gold Coast - Melbourne,0
2020-06-01,Gold Coast - Melbourne,0
2020-07-01,Gold Coast - Melbourne,na
2020-08-01,Gold Coast - Melbourne,0
2020-09-01,Gold Coast - Melbourne,0
2019-10-01,Melbourne - Perth,1027
2019-11-01,Melbourne - Perth,996
2019-12-01,Melbourne - Perth,1050
2020-01-01,Melbourne - Perth,1072
2020-02-01,Melbourne - Perth,927
2020-03-01,Melbourne - Perth,899
2020-04-01,Melbourne - Perth,216
2020-05-01,Melbourne - Perth,232
2020-06-01,Melbourne - Perth,218
2020-07-01,Melbourne - Perth,163
2020-08-01,Melbourne - Perth,132
2020-09-01,Melbourne - Perth,151
2019-10-01,Melbourne - Sydney,5397
2019-11-01,Melbourne - Sydney,5005
